ts_code,date,open,high,low,close,pre_close,change_amount,pct_change,volume,amount,daily_return,true_range,typical_price,ma5,ma10,ma20,macd,macd_signal,macd_hist,rsi,ma60,signal_line,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ma20,volume_ratio,price_momentum,price_acceleration,volatility_5d,volatility_20d
600519.SH,2024-11-20,1543.0,1553.97,1531.3,1544.81,1541.92,2.89,0.1874,21344.55,3292675.257,0.0018742866037146921,22.670000000000073,1543.36,1555.706,1578.0765286,1563.9082643,-7.124397969006395,-15.517869957916187,-1.356727829745858,53.784399143165786,,-5.767670139260537,1563.9082643,1620.3788238617265,1507.4377047382734,28942.485999999997,37049.5405,0.7374815694823175,-0.021343047196705767,0.0010257075585566877,0.09004853011151218,0.2199499316963721
600519.SH,2024-11-21,1543.87,1548.99,1532.0,1545.13,1544.81,0.32,0.0207,18261.79,2810933.515,0.00020714521526921104,16.99000000000001,1542.04,1549.972,1568.734,1563.5547643,-8.103008753139648,-15.406490816597238,-1.868270891103288,52.59544093147741,,-6.23473786203636,1563.5547643,1620.4210524799253,1506.6884761200747,26745.215999999997,36766.490000000005,0.6828058520821071,-0.01821705426356579,0.003125992933139976,0.09564305552688815,0.2172968479089985
600519.SH,2024-11-22,1541.15,1547.77,1507.82,1507.82,1545.13,-37.31,-2.4147,33436.11,5107288.992,-0.024146835541346112,39.950000000000045,1521.1366666666665,1539.736,1558.519,1561.0032643,-11.75368092016015,-15.957258556506222,-4.415154446499032,41.66014610432659,,-7.338526473661118,1561.0032643,1623.0973458442757,1498.9091827557243,26680.214,37051.04150000001,1.2532174592002898,-0.032828736369467704,-0.014611682105901913,0.175442865101972,0.23252085869351455
600519.SH,2024-11-25,1511.0,1532.0,1496.67,1498.57,1507.82,-9.25,-0.6135,33185.56,5011136.234,-0.006134684511413857,35.32999999999993,1509.08,1527.65,1548.575,1557.6817643,-15.217840812610348,-17.005383506132038,-6.3034514711593825,32.38153258936579,,-8.914389341450965,1557.6817643,1625.6999467349422,1489.6635818650577,27898.888,36754.2495,1.1894940042054722,-0.03876202694034636,-0.005933290570878658,0.16604848055102736,0.23210701144210052
600519.SH,2024-11-26,1498.57,1518.88,1488.88,1509.0,1498.57,10.43,0.696,25744.79,3876885.984,0.006959968503306602,30.0,1505.5866666666668,1521.066,1541.7549999999999,1556.5507643,-16.926480719087067,-18.105134610343843,-6.409673102108881,36.343045119953274,,-10.516807616978186,1556.5507643,1627.098788734661,1486.0027398653392,26394.559999999998,35983.2,0.9753824272880474,-0.02135000518833663,0.017412021752009732,0.19156139428689922,0.22249017740388866
600519.SH,2024-11-27,1509.0,1522.15,1505.0,1519.05,1509.0,10.05,0.666,25934.17,3927607.772,0.006660039761431369,17.15000000000009,1515.3999999999999,1515.914,1535.81,1555.9032643,-17.27055493961325,-18.977986073538936,-5.4029978581080496,14.744642788637108,,-11.867557081505199,1555.9032643,1627.6279498994713,1484.1785787005288,27312.483999999997,35679.621499999994,0.9495353846248478,-0.016675189829169934,0.004674815359166695,0.2038182623481397,0.22399307353619258
600519.SH,2024-11-28,1522.0,1524.99,1502.0,1518.0,1519.05,-1.05,-0.0691,23952.03,3627662.382,-0.0006912214871136468,22.99000000000001,1514.9966666666667,1510.488,1530.23,1555.4137643,-17.427074001966957,-19.63636238914059,-4.447613536369406,17.604790419161674,,-12.979460465597551,1555.4137643,1628.0738302171087,1482.7536983828911,28450.532,35379.3555,0.8418833784900753,-0.017558393144913476,-0.0008832033157435415,0.20294483142838438,0.2238176002004481
600519.SH,2024-11-29,1517.0,1555.0,1513.21,1525.74,1518.0,7.74,0.5099,36088.1,5534035.503,0.00509881422924896,41.789999999999964,1531.3166666666666,1514.0720000000001,1526.904,1555.0132643000002,-16.73366786561246,-19.957554241525912,-3.0033659200119267,23.763885863646266,,-13.730301945600534,1555.0132643000002,1628.262026027934,1481.7645025720662,28980.93,35569.56449999999,1.2452360914573823,0.011884707723733623,0.0294431008686471,0.09001666469032814,0.2241508024085145
600519.SH,2024-12-02,1526.0,1529.99,1515.1,1525.0,1525.74,-0.74,-0.0485,26819.54,4086609.952,-0.00048501055225658174,14.8900000000001,1523.3633333333335,1519.358,1523.504,1553.8532643,-16.058735219002756,-20.016886961761042,-1.8627466187217774,27.817440081591016,,-14.195988600280979,1553.8532643,1628.281645507043,1479.424883092957,27707.726000000002,35455.8955,0.9679444642985137,0.01763681376245363,0.005752106038720006,0.06042733339349215,0.22126949279008434
600519.SH,2024-12-03,1524.0,1528.9,1516.08,1526.74,1525.0,1.74,0.1141,24806.62,3777197.199,0.0011409836065574552,12.820000000000164,1523.9066666666668,1522.906,1521.986,1551.3407642999998,-15.208132886542217,-19.835597913635013,-0.809715429008989,28.08636748518208,,-14.398417457533228,1551.3407642999998,1625.873118419578,1476.8084101804216,27520.091999999997,34414.202999999994,0.9014003296209911,0.011756129887342537,-0.005880683875111092,0.05317386530106485,0.2094798305288019
600519.SH,2024-12-04,1520.07,1523.66,1510.0,1520.0,1526.74,-6.74,-0.4415,23923.89,3626565.544,-0.004414635104863951,16.74000000000001,1517.8866666666665,1523.096,1519.5049999999999,1548.7907642999999,-14.906058319668318,-19.575318697745935,-0.40611268970807224,27.60945563509243,,-14.499945629960246,1548.7907642999999,1623.9779679410726,1473.603560658927,27118.036,33728.826,0.8822132251760415,0.0006253908692932519,-0.011130739018049285,0.05465625183979366,0.20957949659925154
600519.SH,2024-12-05,1510.86,1517.86,1510.0,1511.0,1520.0,-9.0,-0.5921,16141.47,2441318.387,-0.005921052631578938,10.0,1512.9533333333331,1521.696,1516.0919999999999,1542.413,-15.21746931918642,-19.378147874182407,-0.5740189513809391,29.009970264124576,,-14.643450367805482,1542.413,1606.336068927054,1478.489931072946,25555.924000000003,30798.9635,0.6316136329095359,-0.00461133069828723,-0.005236721567580482,0.07004864842442345,0.12744648503670347
600519.SH,2024-12-06,1513.0,1538.9,1508.07,1521.01,1511.0,10.01,0.6625,32039.69,4883148.6,0.006624751819986674,30.830000000000155,1522.66,1520.75,1517.4109999999998,1537.9650000000001,-14.489515323718479,-19.026997766191077,0.12314803526960283,34.72456775231204,,-14.612663358988081,1537.9650000000001,1593.986988352322,1481.9430116476783,24746.242,29362.388,1.2947295189305916,-0.003100135016451011,0.0015111956818362193,0.07861717729205349,0.12233666300332986
600519.SH,2024-12-09,1522.02,1529.72,1513.2,1518.8,1521.01,-2.21,-0.1453,19799.86,3008173.586,-0.0014529819001847244,16.519999999999982,1520.5733333333335,1519.5099999999998,1519.434,1534.0045,-13.930354611329676,-18.589637177288026,0.5458469981267253,39.44099378881984,,-14.476201609456401,1534.0045,1582.8994122205265,1485.1095877794735,23342.306,28159.6985,0.8482392442289121,-0.0040655737704918815,-0.0009654387540408704,0.0788195309493882,0.12117755427343035
600519.SH,2024-12-10,1570.0,1579.73,1545.18,1546.59,1518.8,27.79,1.8297,60312.1,9421340.719,0.018297340005267282,60.930000000000064,1557.1666666666667,1523.48,1523.193,1532.474,-11.11664915733445,-17.635425931101295,2.6876419616975618,50.662300937639515,,-13.804291119032012,1532.474,1577.433816163704,1487.5141838362958,30443.402000000002,28714.170499999997,1.981122214921972,0.01300155887708443,0.01706713264757631,0.15891200184643853,0.1353168115719108
600519.SH,2024-12-11,1540.0,1555.0,1530.98,1535.6,1546.59,-10.99,-0.7106,29671.12,4569662.604,-0.007105955683148091,24.019999999999982,1540.5266666666666,1526.6,1524.848,1530.329,-9.662188768508258,-16.54242836463683,3.3136818804190042,46.71492588762489,,-12.975870648927263,1530.329,1569.8016761723973,1490.8563238276026,31592.847999999998,28741.4635,0.9391720556500636,0.010263157894736752,-0.0027384009823476774,0.1673494499759952,0.13686085573898998
600519.SH,2024-12-12,1532.02,1566.0,1529.0,1565.8,1535.6,30.2,1.9667,41936.52,6510547.81,0.01966657983849962,37.0,1553.6000000000001,1537.56,1529.6280000000002,1529.9289999999999,-6.003427053404948,-14.900212057631437,5.577954876417852,71.01638393504422,,-11.5813819298228,1529.9289999999999,1567.6710658235872,1492.1869341764125,36751.85799999999,29375.882499999996,1.1410721057966648,0.036267372600926606,0.026004214706189854,0.1875665247993126,0.15559177400041238
600519.SH,2024-12-13,1550.01,1554.99,1518.88,1519.0,1565.8,-46.8,-2.98289161,49511.97,7580908.315,-0.0298888746966407,46.919999999999845,1530.9566666666667,1537.158,1528.9540000000002,1527.9289999999999,-6.801794062330828,-13.712549846021457,3.823670293993578,55.8208444925637,,-10.625464356324406,1527.9289999999999,1563.352815301669,1492.5051846983308,40246.314,30163.425,1.23022371688498,-0.001321490325507435,-0.03758886292643404,0.3241151939176294,0.1857216644339387
600519.SH,2024-12-16,1521.0,1529.0,1510.71,1527.2,1519.0,8.2,0.5398,32537.1,4945298.799,0.005398288347597147,18.289999999999964,1522.3033333333333,1538.8380000000002,1529.174,1526.339,-6.695650903371643,-12.709972665191547,3.1438507623622094,55.25222209396285,,-9.839501665733852,1526.339,1558.60462185492,1494.07337814508,42793.762,30435.6705,0.7603234321862143,0.005530682117461216,0.0068521724429686515,0.3259534842006599,0.18717994551794193
600519.SH,2024-12-17,1525.99,1569.0,1521.01,1558.0,1527.2,30.8,2.0168,54171.63,8398945.449,0.020167627029858526,47.99000000000001,1549.3366666666668,1541.1200000000001,1532.3,1527.143,-4.079206537766822,-11.355595338397896,4.608236102373624,60.03814236379569,,-8.687442640140446,1527.143,1561.7591119164326,1492.5268880835674,41565.668,31480.9305,1.3032782247117982,0.007377520868491416,0.0018468387510301998,0.3323157389283151,0.19746384993553429
600519.SH,2024-12-18,1557.97,1577.0,1547.1,1571.5,1558.0,13.5,0.8665,41162.26,6440801.971,0.008664955070603275,29.90000000000009,1565.2,1548.3,1537.45,1528.4775,-0.9058759773895417,-9.61044887892694,6.225253330200724,62.95650489198876,,-7.131129307590266,1528.4775,1567.7112394410317,1489.2437605589682,43863.896,32471.816000000003,0.9384086630152506,0.023378483980203146,0.01600096311171173,0.32492300436500493,0.19950901465214346
600519.SH,2024-12-19,1565.14,1567.93,1550.33,1551.01,1571.5,-20.49,-1.3038,24809.32,3862602.665,-0.013038498250079522,21.170000000000073,1556.4233333333334,1545.342,1541.451,1528.7715,-0.04385487193849258,-8.016861184590194,5.669819548521419,55.76387938506454,,-5.7136744204599115,1528.7715,1568.6140560768545,1488.9289439231457,40438.456000000006,32799.1925,0.6135080923960102,-0.009445650785540938,-0.032824134765744084,0.31341376407818317,0.20559488250960706
600519.SH,2024-12-20,1531.13,1541.8,1520.02,1522.0,1527.13,-5.13,-0.3359,28157.74,4307425.535,-0.018703941302763982,30.99000000000001,1527.9399999999998,1545.9420000000002,1541.55,1529.4805000000001,-1.6821704745402712,-7.046371646827945,3.225203156735713,49.3938904153871,,-4.907373631275984,1529.4805000000001,1568.2432691558797,1490.7177308441205,36167.61,32535.273999999998,0.7785347165599276,0.0019749835418039208,0.011420634327344859,0.2546804373900326,0.19778077208906547
600519.SH,2024-12-23,1523.0,1538.0,1517.0,1526.45,1522.0,4.45,0.2924,21602.69,3300971.424,0.002923784494086812,21.0,1527.1499999999999,1545.792,1542.315,1530.8745,-2.5915952859857043,-6.430245370102019,1.8526226762322242,49.94204404652464,,-4.4442179622179285,1530.8745,1566.8627539170825,1494.8862460829173,33980.728,31956.1305,0.6357335840479932,-0.0004910948140387505,-0.0024660783558426713,0.25227521974062767,0.19633334361980184
600519.SH,2024-12-24,1525.0,1544.0,1521.59,1538.82,1526.45,12.37,0.8104,22104.92,3394160.299,0.008103770185724946,22.410000000000082,1534.8033333333333,1541.956,1541.538,1532.3654999999999,-2.287793126451561,-5.856513522503352,1.7251398686130948,53.678367602220305,,-4.012932995064656,1532.3654999999999,1566.9826819066525,1497.7483180933473,27567.386,31774.137,0.8018504184618738,-0.012310654685494304,-0.011819559871455554,0.2008142105562213,0.196835583414978
600519.SH,2024-12-25,1538.8,1538.8,1526.1,1530.0,1538.82,-8.82,-0.5732,17123.39,2621061.878,-0.005731664522166335,12.720000000000027,1531.6333333333332,1533.656,1540.978,1532.913,-2.727289518537873,-5.466799423012393,1.0285147812214266,53.71616335471757,,-3.7558042997592995,1532.913,1566.9855449592537,1498.8404550407463,22759.612,31333.597999999998,0.7523586078708195,-0.02640789055042958,-0.014097235864935276,0.17516486281754387,0.19706778533351413
600519.SH,2024-12-26,1534.0,1538.78,1523.0,1527.79,1530.0,-2.21,-0.1444,18286.51,2798840.003,-0.0014444444444444704,15.779999999999973,1529.8566666666666,1529.0120000000002,1537.1770000000001,1533.4025,-3.216840372525212,-5.235652857640892,0.43117114178727034,51.36781794706261,,-3.6480115143124823,1533.4025,1566.8484890601383,1499.9565109398616,21455.05,31050.321999999996,0.8523172866061836,-0.014970889936235077,0.011437000614194504,0.16167001672957965,0.19714288176422332
600519.SH,2024-12-27,1528.9,1536.0,1519.5,1528.97,1527.79,1.18,0.0772,20759.32,3170191.445,0.000772357457504036,16.5,1528.1566666666668,1530.406,1538.174,1533.5639999999999,-3.46960140772876,-5.085251112847702,0.1427280852669779,52.06028929135775,,-3.612329492995738,1533.5639999999999,1566.8851609073104,1500.2428390926893,19975.365999999998,30283.883,1.0392460393466634,0.004579500657030167,0.019550390593265243,0.08151781203637258,0.19637039368679152
600519.SH,2024-12-30,1533.97,1543.96,1525.0,1525.0,1528.97,-3.97,-0.2597,25129.82,3849542.646,-0.0025965192253608604,18.960000000000036,1531.32,1530.116,1537.9540000000002,1533.5639999999999,-3.9447890973301583,-5.0450916807074595,-0.26596768346753574,45.158975738822384,1548.8107643,-3.6788214138626225,1533.5639999999999,1566.8851609073104,1500.2428390926893,20680.791999999998,30199.396999999997,1.2151285115192882,-0.0009499164728619114,-0.005529417129892078,0.08240505605356979,0.19660793797579432
600519.SH,2024-12-31,1525.4,1545.0,1522.01,1524.0,1525.0,-1.0,-0.0656,39354.45,6033540.366,-0.0006557377049180024,22.99000000000001,1530.3366666666668,1527.152,1534.554,1533.4270000000001,-4.351904363002632,-5.08059084967954,-0.5384663593120069,47.27699530516434,1546.9015095333334,-3.813438003690625,1533.4270000000001,1566.8885305278095,1499.9654694721908,24130.698,30926.788499999995,1.630887345239661,-0.009630756033844112,-0.008680839560982201,0.03893232214744655,0.19658194378715782
600519.SH,2025-01-02,1524.0,1524.49,1480.0,1488.0,1524.0,-36.0,-2.3622,50028.7,7490883.773,-0.023622047244094446,44.49000000000001,1497.4966666666667,1518.752,1526.2040000000002,1531.827,-7.493069834820062,-5.724429719095771,-2.94370546490355,32.221206581352845,1545.1156762,-4.549364369916512,1531.827,1570.62629359097,1493.02770640903,30711.76,32232.029000000002,1.628975350159027,-0.027450980392156876,-0.017820224358312764,0.1619073818115891,0.2133861432324358
